match_id,match_date,innings_no,batsman,batting_position,runs,balls,fours,sixes,strike_rate,not_out_flag,dismissal_type,innings_total_runs,innings_total_wkts,innings_overs,match_result
149651,31-03-2026,1,Sai Sudharsan,1,13,11,2,0,118.18,FALSE,Caught,162,6,20,Loss
149651,31-03-2026,1,Shubman Gill,2,39,27,6,0,144.44,FALSE,Caught,162,6,20,Loss
149651,31-03-2026,1,Jos Buttler,3,38,33,3,2,115.15,FALSE,Caught,162,6,20,Loss
149651,31-03-2026,1,Glenn Phillips,4,25,17,1,1,147.06,FALSE,Caught,162,6,20,Loss
149651,31-03-2026,1,Washington Sundar,5,18,16,2,0,112.5,FALSE,Caught,162,6,20,Loss
149651,31-03-2026,1,Shahrukh Khan,6,4,6,0,0,66.67,FALSE,Caught,162,6,20,Loss
149651,31-03-2026,1,Rahul Tewatia,7,11,10,1,0,110,TRUE,Not Out,162,6,20,Loss
149651,31-03-2026,1,Rashid Khan,8,0,1,0,0,NaN,TRUE,Not Out,162,6,20,Loss
149699,04-04-2026,2,Sai Sudharsan,1,73,44,9,3,165.91,FALSE,Caught,204,8,20,Loss
149699,04-04-2026,2,Kumar Kushagra,2,18,14,3,0,128.57,FALSE,Caught,204,8,20,Loss
149699,04-04-2026,2,Jos Buttler,3,26,14,5,0,185.71,FALSE,Caught,204,8,20,Loss
149699,04-04-2026,2,Glenn Phillips,4,3,4,0,0,75,FALSE,Caught,204,8,20,Loss
149699,04-04-2026,2,Washington Sundar,5,4,2,1,0,200,FALSE,Caught,204,8,20,Loss
149699,04-04-2026,2,Rahul Tewatia,6,12,6,1,1,200,FALSE,Caught,204,8,20,Loss
149699,04-04-2026,2,Shahrukh Khan,7,11,4,1,1,275,FALSE,Run Out,204,8,20,Loss
149699,04-04-2026,2,Rashid Khan,8,24,16,3,0,150,FALSE,Caught,204,8,20,Loss
149699,04-04-2026,2,Kagiso Rabada,9,23,16,1,2,143.75,TRUE,Not Out,204,8,20,Loss
149699,04-04-2026,2,Ashok Sharma,10,0,1,0,0,NaN,TRUE,Not Out,204,8,20,Loss
149746,08-04-2026,1,Sai Sudharsan,1,12,7,2,0,171.43,FALSE,Bowled,210,4,20,Win
